Opis,Dzielnica,Ilość pokoi,Cena,Powierzchnia,Cena za m2,Link do ogłoszenia
Oferta sprzedaży mieszkania 2 pokojowego ul.Sporna,Bałuty,2,261 000,50.25,5 194,https://www.otodom.pl/pl/oferta/oferta-sprzedazy-mieszkania-2-pokojowego-ul-sporna-ID48GbY.html#3a460ec8f9
Przytulne M-3 z balkonem blisko basen i siłownia,Bałuty Teofilów,2,192 000,37.60,5 106,https://www.otodom.pl/pl/oferta/przytulne-m-3-z-balkonem-blisko-basen-i-silownia-ID494FR.html#3a460ec8f9
Rozkładowe Mieszkanie 47m2 - Łódź Górna,Górna,2,269 000,47.17,5 703,https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-47m2-lodz-gorna-ID48QcZ.html#3a460ec8f9
Umeblowane mieszkanie po częściowym remoncie,Bałuty Żabieniec,2,260 000,46,5 652,https://www.otodom.pl/pl/oferta/umeblowane-mieszkanie-po-czesciowym-remoncie-ID494DX.html#3a460ec8f9
Po remoncie Manufakturabalkonwinda,Polesie,2,277 000,40,6 925,https://www.otodom.pl/pl/oferta/po-remoncie-manufaktura-balkon-winda-ID48QbV.html#3a460ec8f9
Nowoczesne przytulne mieszkanie na Teofilowie,Bałuty Teofilów,2,283 000,45.16,6 267,https://www.otodom.pl/pl/oferta/nowoczesne-przytulne-mieszkanie-na-teofilowie-ID48CcC.html#3a460ec8f9
Ogłoszenie nieaktualne,Widzew,2,229 000,37.64,6 084,https://www.otodom.pl/pl/oferta/ogloszenie-nieaktualne-ID48N6w.html#3a460ec8f9
Mieszkanie nowe dla rodziny. Pilnie sprzedam!,Polesie,2,283 267,47.29,5 990,https://www.otodom.pl/pl/oferta/mieszkanie-nowe-dla-rodziny-pilnie-sprzedam-ID46AzZ.html#3a460ec8f9
mieszkanie w standardzie Eko do remontu,Bałuty Teofilów,2,210 000,45,4 667,https://www.otodom.pl/pl/oferta/mieszkanie-w-standardzie-eko-do-remontu-ID472Qt.html#3a460ec8f9
Mieszkanie dla pary,Bałuty,2,215 000,36,5 972,https://www.otodom.pl/pl/oferta/mieszkanie-dla-pary-ID47MXt.html#3a460ec8f9
M-3 4242m2 Retkinia Duży Balkon Pełny Rozkład,Polesie Retkinia,2,225 000,42.42,5 304,https://www.otodom.pl/pl/oferta/m-3-42-42m2-retkinia-duzy-balkon-pelny-rozklad-ID494y8.html#3a460ec8f9
M-3 4242m2 Retkinia Południe Duży Balkon,Polesie Retkinia,2,225 000,42.42,5 304,https://www.otodom.pl/pl/oferta/m-3-42-42m2-retkinia-poludnie-duzy-balkon-ID494xR.html#3a460ec8f9
Olechów/Janów apartamentowiec 2020 &quot;pod klucz&quot;,Widzew Janów,2,385 000,44.07,8 736,https://www.otodom.pl/pl/oferta/olechow-janow-apartamentowiec-2020-pod-klucz-ID48lGR.html#3a460ec8f9
Stylowe 2-pokojowe mieszkanie po remoncie - GÓRNA,Górna,2,315 000,50.50,6 238,https://www.otodom.pl/pl/oferta/stylowe-2-pokojowe-mieszkanie-po-remoncie-gorna-ID494uf.html#3a460ec8f9
Mieszkanie w centrum-Dni otwarte 08.12 wtorek,Śródmieście,2,335 000,51,6 569,https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-dni-otwarte-08-12-wtorek-ID494tZ.html#3a460ec8f9
Stylowe 2-pokojowe mieszkanie po remoncie - GÓRNA,Górna,2,315 000,50.50,6 238,https://www.otodom.pl/pl/oferta/stylowe-2-pokojowe-mieszkanie-po-remoncie-gorna-ID494uf.html#87fec1d439
Mieszkanie z dużym potencjałem - 4.200/m2 !!!,Bałuty,2,162 000,38.50,4 208,https://www.otodom.pl/pl/oferta/mieszkanie-z-duzym-potencjalem-4-200-zl-m2-ID48Zu8.html#87fec1d439
Prywatnie M4 ŁódźKozinyul. Gazowa Po remoncie,Polesie,3,292 000,47.50,6 147,https://www.otodom.pl/pl/oferta/prywatnie-m4-lodz-koziny-ul-gazowa-po-remoncie-ID48VYy.html#87fec1d439
Dobrze zlokalizowane M4 na Dąbrowie - prywatnie,Górna Dąbrowa,3,267 000,45.10,5 920,https://www.otodom.pl/pl/oferta/dobrze-zlokalizowane-m4-na-dabrowie-prywatnie-ID48n5U.html#87fec1d439
M3 z balkonem w spokojnej okolicy blisko centrum,Polesie Karolew,2,250 000,48,5 208,https://www.otodom.pl/pl/oferta/m3-z-balkonem-w-spokojnej-okolicy-blisko-centrum-ID494mg.html#87fec1d439
2 - ul. Staszica po generalnym remoncie!,Bałuty,2,285 000,40,7 125,https://www.otodom.pl/pl/oferta/2-pokoje-ul-staszica-po-generalnym-remoncie-ID48i0e.html#87fec1d439
Rozkładowe M3 45m2 Teofilów ul. Łanowa Balkon,Bałuty Teofilów,2,209 000,45,4 644,https://www.otodom.pl/pl/oferta/rozkladowe-m3-45m2-teofilow-ul-lanowa-balkon-ID492Jj.html#87fec1d439
Franciszkańska 139 - zielono cicho wygodnie,Bałuty,3,312 000,54.20,5 756,https://www.otodom.pl/pl/oferta/franciszkanska-139-zielono-cicho-wygodnie-ID46DbN.html#87fec1d439
M3 rozkładowe 45m2 Rojna Teofilów 2 pok. parter,Bałuty Teofilów,2,229 000,45,5 089,https://www.otodom.pl/pl/oferta/m3-rozkladowe-45m2-rojna-teofilow-2-pok-parter-ID484rZ.html#87fec1d439
Ostatnie mieszkania Centrum ul. Rewolucji 27 Łódź,Śródmieście,2,199 000,45.39,4 384,https://www.otodom.pl/pl/oferta/ostatnie-mieszkania-centrum-ul-rewolucji-27-lodz-ID492CP.html#87fec1d439
Kawalerka z balkonem okno-drzwiami I piętro,Polesie,1,250 000,38,6 579,https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-okno-drzwiami-i-pietro-ID494cn.html#87fec1d439
Funkcjonalne 2 pokojowe mieszkania- Obywatelska!,łódzkie,2,257 676,39.90,6 458,https://www.otodom.pl/pl/oferta/funkcjonalne-2-pokojowe-mieszkania-obywatelska-ID476OV.html#87fec1d439
Nowe wygodne 3 pokojowe przy Obywatelskiej- HIT!,łódzkie,3,304 230,48.78,6 237,https://www.otodom.pl/pl/oferta/nowe-wygodne-3-pokojowe-przy-obywatelskiej-hit-ID476O7.html#87fec1d439
Komfortowe 2 pokojowe mieszkanie-&gt;&gt;Obywatelska!!,łódzkie,2,255 711,39.53,6 469,https://www.otodom.pl/pl/oferta/komfortowe-2-pokojowe-mieszkanie-obywatelska-ID476PN.html#87fec1d439
Sprzedam 44m2 w nowym bloku,Bałuty,2,245 000,44,5 568,https://www.otodom.pl/pl/oferta/sprzedam-44m2-w-nowym-bloku-ID48m53.html#87fec1d439
2 tuż przy Manufakturze,Bałuty,2,240 000,37.30,6 434,https://www.otodom.pl/pl/oferta/2-pokoje-tuz-przy-manufakturze-ID4946P.html#87fec1d439
3 na Retkini I p. loggia,Polesie Retkinia,3,339 000,53,6 396,https://www.otodom.pl/pl/oferta/3-pokoje-na-retkini-i-p-loggia-ID4946O.html#87fec1d439
Dwa Pokoje w Centrum przy Politechnice Łódzkiej,Śródmieście,2,257 980,40.36,6 392,https://www.otodom.pl/pl/oferta/dwa-pokoje-w-centrum-przy-politechnice-lodzkiej-ID4946p.html#87fec1d439
Trzy Pokoje w Centrum przy Politechnice Łódzkiej,Śródmieście,3,313 540,51.35,6 106,https://www.otodom.pl/pl/oferta/trzy-pokoje-w-centrum-przy-politechnice-lodzkiej-ID4946l.html#87fec1d439
Trzy w Apartamentowcu Centrum-Widzew !!!,Śródmieście,3,305 760,51.61,5 924,https://www.otodom.pl/pl/oferta/trzy-pokoje-w-apartamentowcu-centrum-widzew-ID4945T.html#87fec1d439
Trzy Centrum-Widzew RABAT 49.000 !!!,Śródmieście,3,288 900,48.91,5 907,https://www.otodom.pl/pl/oferta/trzy-pokoje-centrum-widzew-rabat-49-000-ID4945P.html#87fec1d439
Mieszkanie 3949 Łódź,Śródmieście,1,225 000,39.49,5 698,https://www.otodom.pl/pl/oferta/mieszkanie-39-49-m-lodz-ID48PSG.html#87fec1d439
Mieszkanie przy Uniwersyteckiej - Łódź,Śródmieście,2,298 000,47.80,6 234,https://www.otodom.pl/pl/oferta/mieszkanie-przy-uniwersyteckiej-lodz-ID48Yhj.html#87fec1d439
Łódź julianów casa mia 435m2 2,Bałuty Julianów,2,450 000,43.50,10 345,https://www.otodom.pl/pl/oferta/lodz-julianow-casa-mia-43-5m2-2-pokoje-ID4942r.html#87fec1d439
NOWOCZESNE OSIEDLE /zobacz fizycznie 1-4 pok BONUS,Widzew,3,299 000,48.91,6 113,https://www.otodom.pl/pl/oferta/nowoczesne-osiedle-zobacz-fizycznie-1-4-pok-bonus-ID48JpN.html#f7e392bc96
Olechów/Janów apartamentowiec 2020 &quot;pod klucz&quot;,Widzew Janów,2,385 000,44.07,8 736,https://www.otodom.pl/pl/oferta/olechow-janow-apartamentowiec-2020-pod-klucz-ID48lGR.html#f7e392bc96
Sprzedam mieszkanie 2-pokojowe 10 piętro Bałuty,Bałuty,2,269 000,47,5 723,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokojowe-10-pietro-baluty-ID491Ya.html#f7e392bc96
Mieszkanie 4853 Łódź,Polesie,2,254 000,48.53,5 234,https://www.otodom.pl/pl/oferta/mieszkanie-48-53-m-lodz-ID48hHm.html#f7e392bc96
Słoneczne mieszkanie 40m2 Łódź Górna Dąbrowa,Górna,2,210 000,39.66,5 295,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-40m2-lodz-gorna-dabrowa-ID48Tk0.html#f7e392bc96
Mieszkanie inwestycyjne w centrum Łodzi 37 m2,Śródmieście,2,225 000,37.30,6 032,https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-w-centrum-lodzi-37-m2-ID48hXJ.html#f7e392bc96
2 pokrozkładbalkon2 piętroBałutyDołyMarysin!,Bałuty Doły,2,221 000,36.98,5 976,https://www.otodom.pl/pl/oferta/2-pok-rozklad-balkon-2-pietro-baluty-doly-marysin-ID493Pu.html#f7e392bc96
mieszkanie 47 m Bałuty rozkładowe bezpośrednio,Bałuty,2,260 000,47,5 532,https://www.otodom.pl/pl/oferta/mieszkanie-47-m-baluty-rozkladowe-bezposrednio-ID48PFx.html#f7e392bc96
Piękne 3 pokojowe 54 m2 Retkinia - Maratońska,Polesie Retkinia,3,377 000,54,6 981,https://www.otodom.pl/pl/oferta/piekne-3-pokojowe-54-m2-retkinia-maratonska-ID48PFT.html#f7e392bc96
M4-Polesie-Retkinia,Polesie Retkinia,3,339 000,53,6 396,https://www.otodom.pl/pl/oferta/m4-polesie-retkinia-ID493Kq.html#f7e392bc96
M3 Łódź-Widzew,Widzew,2,225 000,37,6 081,https://www.otodom.pl/pl/oferta/m3-lodz-widzew-ID493Iq.html#f7e392bc96
Mieszkanie Dąbrowa ogrodzony blok REZERWACJA,Górna Dąbrowa,2,185 000,36.30,5 096,https://www.otodom.pl/pl/oferta/mieszkanie-dabrowa-ogrodzony-blok-rezerwacja-ID48Ofg.html#f7e392bc96
Słoneczne M3 z balkonem,Górna Dąbrowa,2,199 900,38,5 261,https://www.otodom.pl/pl/oferta/sloneczne-m3-z-balkonem-ID48d6Y.html#f7e392bc96
Parterowe mieszkanie z balkonem!,Polesie Karolew,2,246 000,44,5 591,https://www.otodom.pl/pl/oferta/parterowe-mieszkanie-z-balkonem-ID4862P.html#f7e392bc96
2 rozkładowe Teofilów,Bałuty,2,260 000,45,5 778,https://www.otodom.pl/pl/oferta/2-rozkladowe-pokoje-teofilow-ID493zg.html#f7e392bc96
Super Rekinia Olimpijska 11,Polesie Retkinia,3,310 000,42.24,7 339,https://www.otodom.pl/pl/oferta/super-rekinia-olimpijska-11-ID48G6E.html#f7e392bc96
Zarzew M4 48m2/balkon/winda do własnej aranżacji,Widzew Zarzew,3,249 000,48,5 188,https://www.otodom.pl/pl/oferta/zarzew-m4-48m2-balkon-winda-do-wlasnej-aranzacji-ID493wY.html#f7e392bc96
Wyprzedaż 2020! 49m2+balkon 9m2!,Śródmieście,3,292 484,48.91,5 980,https://www.otodom.pl/pl/oferta/wyprzedaz-2020-49m2-balkon-9m2-ID48cj7.html#f7e392bc96
50m2 3pokojewyprzedaż do końca 2020!,Śródmieście,1,313 369,50.03,6 264,https://www.otodom.pl/pl/oferta/50m2-3pokoje-wyprzedaz-do-konca-2020-ID48ke9.html#f7e392bc96
49m2+balkon 9m2 trzy!,Śródmieście,3,292 484,48.91,5 980,https://www.otodom.pl/pl/oferta/49m2-balkon-9m2-trzy-pokoje-ID48JIw.html#f7e392bc96
Mieszkanie I piętro Centrum,Śródmieście,2,219 000,51.16,4 281,https://www.otodom.pl/pl/oferta/mieszkanie-i-pietro-centrum-ID48OC4.html#3a5de6f119
Mieszkanie Bałuty Krawiecka inwestycyjne,Bałuty,2,270 000,51,5 294,https://www.otodom.pl/pl/oferta/mieszkanie-baluty-krawiecka-inwestycyjne-ID492nK.html#3a5de6f119
2 rozkładowe okolice Manufaktury,Bałuty,2,239 000,37.50,6 373,https://www.otodom.pl/pl/oferta/2-rozkladowe-pokoje-okolice-manufaktury-ID493u9.html#3a5de6f119
3 pokojowe w pięknej zielonej okolicy - Retkinia,Polesie Karolew,3,279 900,52.30,5 352,https://www.otodom.pl/pl/oferta/3-pokojowe-w-pieknej-zielonej-okolicy-retkinia-ID491b6.html#3a5de6f119
Przestronne mieszkanie na parterze.,Górna Dąbrowa,3,250 000,47,5 319,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-parterze-ID493ro.html#3a5de6f119
REZERWACJA 40mkw. 2pok.rozkladoweDąbrowa,Górna Dąbrowa,2,214 000,40,5 350,https://www.otodom.pl/pl/oferta/rezerwacja-40mkw-2pok-rozkladowe-dabrowa-ID48XfY.html#3a5de6f119
3674m2 2 - ul. Karla Dedeciusa 1,Widzew,2,170 000,36.74,4 627,https://www.otodom.pl/pl/oferta/36-74m2-2-pokoje-ul-karla-dedeciusa-1-ID48YJl.html#3a5de6f119
M3 Łódź Dąbrowa BEZPOŚREDNIO do negocjacji,Górna Dąbrowa,2,225 000,37,6 081,https://www.otodom.pl/pl/oferta/m3-lodz-dabrowa-bezposrednio-do-negocjacji-ID483AE.html#3a5de6f119
M-4 Retkinia - LOGGIA,łódzkie,3,339 000,53,6 396,https://www.otodom.pl/pl/oferta/m-4-retkinia-loggia-ID493f1.html#3a5de6f119
